CMDLINE c:\users\marcob\appdata\local\continuum\anaconda3\envs\drlnd\python.exe train_pixels.py
MEM 0.574219 1581082951.9023
MEM 8.542969 1581082952.0030
MEM 10.632812 1581082952.1034
MEM 13.554688 1581082952.2041
MEM 16.296875 1581082952.3048
MEM 17.703125 1581082952.4056
MEM 20.617188 1581082952.5063
MEM 22.621094 1581082952.6070
MEM 24.484375 1581082952.7078
MEM 27.804688 1581082952.8085
MEM 29.097656 1581082952.9092
MEM 30.421875 1581082953.0100
MEM 31.644531 1581082953.1107
MEM 33.230469 1581082953.2112
MEM 35.839844 1581082953.3115
MEM 36.695312 1581082953.4122
MEM 38.972656 1581082953.5129
MEM 40.488281 1581082953.6136
MEM 41.214844 1581082953.7144
MEM 43.816406 1581082953.8151
MEM 45.128906 1581082953.9158
MEM 48.820312 1581082954.0166
MEM 53.394531 1581082954.1173
MEM 55.664062 1581082954.2180
MEM 57.730469 1581082954.3188
MEM 57.960938 1581082954.4197
MEM 57.984375 1581082954.5204
MEM 58.105469 1581082954.6212
MEM 59.593750 1581082954.7219
MEM 62.773438 1581082954.8227
MEM 64.738281 1581082954.9234
MEM 67.609375 1581082955.0241
MEM 70.199219 1581082955.1250
MEM 70.968750 1581082955.2257
MEM 72.816406 1581082955.3264
MEM 75.015625 1581082955.4272
MEM 76.316406 1581082955.5279
MEM 78.277344 1581082955.6282
MEM 81.457031 1581082955.7289
MEM 106.464844 1581082955.8297
MEM 114.160156 1581082955.9304
MEM 120.445312 1581082956.0311
MEM 126.562500 1581082956.1318
MEM 129.003906 1581082956.2322
MEM 130.171875 1581082956.3330
MEM 131.511719 1581082956.4337
MEM 133.996094 1581082956.5343
MEM 133.996094 1581082956.6347
MEM 133.996094 1581082956.7354
MEM 133.996094 1581082956.8362
MEM 133.996094 1581082956.9369
MEM 133.996094 1581082957.0369
MEM 133.996094 1581082957.1378
MEM 133.996094 1581082957.2386
MEM 133.996094 1581082957.3393
MEM 133.996094 1581082957.4400
MEM 134.000000 1581082957.5406
MEM 134.000000 1581082957.6414
MEM 134.000000 1581082957.7416
MEM 134.000000 1581082957.8421
MEM 134.000000 1581082957.9423
MEM 134.000000 1581082958.0432
MEM 134.000000 1581082958.1434
MEM 134.000000 1581082958.2434
MEM 134.000000 1581082958.3446
MEM 134.000000 1581082958.4450
MEM 134.000000 1581082958.5456
MEM 134.000000 1581082958.6463
MEM 134.000000 1581082958.7471
MEM 134.000000 1581082958.8474
MEM 134.000000 1581082958.9479
MEM 134.000000 1581082959.0483
MEM 134.000000 1581082959.1492
MEM 134.000000 1581082959.2499
MEM 134.000000 1581082959.3505
MEM 134.000000 1581082959.4511
MEM 134.000000 1581082959.5514
MEM 134.000000 1581082959.6521
MEM 134.000000 1581082959.7529
MEM 134.000000 1581082959.8532
MEM 134.000000 1581082959.9538
MEM 134.000000 1581082960.0545
MEM 134.000000 1581082960.1553
MEM 134.000000 1581082960.2560
MEM 134.000000 1581082960.3567
MEM 134.000000 1581082960.4575
MEM 134.000000 1581082960.5582
MEM 134.000000 1581082960.6589
MEM 134.000000 1581082960.7597
MEM 134.000000 1581082960.8604
MEM 134.000000 1581082960.9611
MEM 134.574219 1581082961.0615
MEM 137.250000 1581082961.1622
MEM 137.507812 1581082961.2629
MEM 137.710938 1581082961.3633
MEM 137.710938 1581082961.4636
MEM 137.710938 1581082961.5642
MEM 137.710938 1581082961.6642
MEM 137.710938 1581082961.7652
MEM 137.710938 1581082961.8657
MEM 137.710938 1581082961.9659
MEM 137.710938 1581082962.0662
MEM 137.710938 1581082962.1670
MEM 137.746094 1581082962.2677
MEM 138.152344 1581082962.3684
MEM 140.230469 1581082962.4692
MEM 141.085938 1581082962.5697
MEM 141.195312 1581082962.6704
MEM 141.886719 1581082962.7711
MEM 142.988281 1581082962.8719
MEM 143.867188 1581082962.9727
MEM 145.062500 1581082963.0734
MEM 146.042969 1581082963.1742
MEM 146.863281 1581082963.2749
MEM 147.882812 1581082963.3758
MEM 148.964844 1581082963.4765
MEM 150.949219 1581082963.5768
MEM 160.226562 1581082963.6777
MEM 160.414062 1581082963.7779
MEM 154.144531 1581082963.8782
MEM 173.691406 1581082963.9784
MEM 161.941406 1581082964.0792
MEM 155.437500 1581082964.1794
MEM 171.234375 1581082964.2801
MEM 164.667969 1581082964.3809
MEM 157.976562 1581082964.4816
MEM 169.636719 1581082964.5823
MEM 165.375000 1581082964.6831
MEM 158.703125 1581082964.7838
MEM 174.917969 1581082964.8841
MEM 166.664062 1581082964.9848
MEM 159.996094 1581082965.0855
MEM 176.796875 1581082965.1863
MEM 167.312500 1581082965.2870
MEM 160.687500 1581082965.3878
MEM 175.011719 1581082965.4885
MEM 166.945312 1581082965.5893
MEM 160.457031 1581082965.6900
MEM 172.488281 1581082965.7907
MEM 168.289062 1581082965.8914
MEM 161.996094 1581082965.9922
MEM 173.601562 1581082966.0929
MEM 178.710938 1581082966.1936
MEM 163.804688 1581082966.2944
MEM 174.320312 1581082966.3946
MEM 183.406250 1581082966.4954
MEM 164.375000 1581082966.5961
MEM 169.359375 1581082966.6962
MEM 184.187500 1581082966.7965
MEM 164.535156 1581082966.8968
MEM 182.328125 1581082966.9975
MEM 186.839844 1581082967.0982
MEM 166.128906 1581082967.1989
MEM 184.933594 1581082967.2992
MEM 187.179688 1581082967.3995
MEM 167.113281 1581082967.5002
MEM 185.539062 1581082967.6009
MEM 188.039062 1581082967.7016
MEM 168.097656 1581082967.8024
MEM 172.730469 1581082967.9031
MEM 188.042969 1581082968.0033
MEM 169.457031 1581082968.1041
MEM 182.007812 1581082968.2053
MEM 176.460938 1581082968.3061
MEM 169.933594 1581082968.4068
MEM 189.656250 1581082968.5075
MEM 177.308594 1581082968.6083
MEM 170.957031 1581082968.7085
MEM 179.257812 1581082968.8092
MEM 170.632812 1581082968.9096
MEM 174.277344 1581082969.0103
MEM 186.914062 1581082969.1111
MEM 171.500000 1581082969.2118
MEM 178.796875 1581082969.3121
MEM 192.449219 1581082969.4123
MEM 172.273438 1581082969.5126
MEM 182.894531 1581082969.6133
